id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
12	0	1112	2313	2406	93	0	1294	1201	1201
7	0	768	1482	2615	12	18	1847	1817	714
9	0	879	1684	3046	134	88	2167	1945	805
1	0	0	0	3954	665	175	3954	3114	0
16	0	2001	3046	4994	28	84	2993	2881	1045
11	0	1048	2230	5350	186	49	4302	4067	1182
26	0	4704	6198	6394	196	0	1690	1494	1494
21	0	3005	4752	6663	87	29	3658	3542	1747
25	0	4348	6022	8465	170	66	4117	3881	1674
0	0	0	0	10005	9659	0	10005	346	0
