id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	85	189	210	440	154	23	251	74	21
1	15	0	0	651	406	83	651	162	0
8	0	1525	1595	1607	12	0	82	70	70
6	104	949	1002	1864	188	86	915	641	53
7	29	1384	1431	2096	429	91	712	192	47
3	181	347	347	2204	318	230	1857	1309	0
9	20	1747	1753	2209	78	105	462	279	6
5	65	764	921	2366	444	81	1602	1077	157
11	0	2560	2581	2642	61	0	82	21	21
18	25	3861	3926	4128	170	10	267	87	65
13	36	3096	3183	4344	184	253	1248	811	87
20	0	4499	4667	4897	230	0	398	168	168
24	0	4763	5028	5134	106	0	371	265	265
26	0	4788	5134	5149	15	0	361	346	346
21	8	4526	4954	5337	22	26	811	763	428
34	0	6193	6317	6322	5	0	129	124	124
0	0	0	0	10010	9413	0	10010	597	0
