id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	497	724	2137	474	21	1640	1145	227
12	0	1275	2370	2423	53	0	1148	1095	1095
11	0	1063	2137	3938	238	30	2875	2607	1074
7	0	577	1313	4269	99	68	3692	3525	736
4	0	267	288	4731	552	528	4464	3384	21
25	0	3553	5128	5153	25	0	1600	1575	1575
18	0	2382	4160	6650	162	1	4268	4105	1778
20	0	2522	4412	7673	226	55	5151	4870	1890
21	0	2693	4544	7726	97	26	5033	4910	1851
36	0	4706	7835	8035	200	0	3329	3129	3129
24	0	3362	5120	8808	103	20	5446	5323	1758
0	0	0	-1	10071	10071	0	10071	0	-1
