id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
21	0	2142	2505	2526	21	0	384	363	363
13	0	1293	1514	3575	1131	138	2282	1013	221
29	0	3484	3634	4282	122	42	798	634	150
17	0	1834	2010	4380	1004	257	2546	1285	176
33	0	4351	4538	5300	224	182	949	543	187
37	0	4659	4730	5342	181	268	683	234	71
35	0	4392	4438	5574	152	258	1182	772	46
40	0	5086	5620	5642	22	0	556	534	534
41	0	5104	5342	5971	257	99	867	511	238
31	0	4120	4151	6154	255	92	2034	1687	31
54	0	7379	7600	7895	295	0	516	221	221
58	0	7928	8205	8224	19	0	296	277	277
0	0	0	0	10000	9971	0	10000	29	0
