id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	592	286	13	592	293	0
7	0	398	570	882	241	18	484	225	172
15	0	1341	1478	1654	176	0	313	137	137
5	0	132	592	2042	656	166	1910	1088	460
19	0	1855	2354	2575	180	3	720	537	499
28	0	3282	3327	4341	460	84	1059	515	45
37	0	4572	4872	5471	200	50	899	649	300
39	0	5182	5285	5654	201	29	472	242	103
41	0	5620	5660	5829	169	0	209	40	40
42	0	5705	6000	6317	317	0	612	295	295
40	0	5539	5829	6589	233	115	1050	702	290
47	0	6513	6589	6757	168	0	244	76	76
48	0	6592	6903	7020	117	0	428	311	311
50	0	6808	7227	7705	353	100	897	444	419
49	0	6606	6801	8633	728	124	2027	1175	195
0	0	0	-1	10004	10004	0	10004	0	-1
