id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	48	325	494	1100	311	50	775	414	169
9	26	1011	1049	1126	29	12	115	74	38
11	127	1511	1522	1888	132	64	377	181	11
14	40	1765	1913	2115	88	29	350	233	148
13	6	1718	2115	2599	194	65	881	622	397
8	192	921	922	2810	536	324	1889	1029	1
4	25	436	2267	3265	430	133	2829	2266	1831
25	94	3267	3317	3411	94	0	144	50	50
31	150	4210	4294	4444	150	0	234	84	84
28	64	3400	3411	5214	342	241	1814	1231	11
37	25	5198	5214	5502	159	56	304	89	16
39	86	5242	5348	5588	215	18	346	113	106
38	168	5237	5588	5756	168	0	519	351	351
40	64	5676	5810	6648	305	297	972	370	134
48	52	6627	6648	6700	52	0	73	21	21
44	93	6039	6285	6793	277	28	754	449	246
49	43	6971	7094	7137	43	0	166	123	123
50	35	7159	7223	7765	178	256	606	172	64
55	66	8039	8153	8439	101	102	400	197	114
57	8	8337	8344	8447	12	57	110	41	7
54	58	8000	8192	9185	421	278	1185	486	192
30	4	3484	4013	9189	583	487	5705	4635	529
63	10	9395	9414	9424	10	0	29	19	19
61	47	9295	9307	9612	154	82	317	81	12
68	48	9627	9634	9810	96	16	183	71	7
0	0	0	-1	10035	10035	0	10035	0	-1
