id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	66	1231	1233	1299	66	0	68	2	2
3	25	82	481	1324	236	209	1242	797	399
2	36	20	480	2389	615	448	2369	1306	460
17	70	2799	2821	3281	92	165	482	225	22
18	93	2957	2987	4289	323	44	1332	965	30
26	4	4464	4990	5183	167	24	719	528	526
27	73	4821	4897	5256	89	90	435	256	76
28	165	4864	4939	5550	209	64	686	413	75
39	138	6150	6385	6523	138	0	373	235	235
42	64	6663	6710	7057	115	23	394	256	47
44	46	6735	6741	7388	225	167	653	261	6
61	6	9484	9529	9781	122	20	297	155	45
58	69	9284	9305	9985	99	281	701	321	21
0	0	0	-1	10011	10011	0	10011	0	-1
