id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	1	1011	1205	1310	29	12	299	258	194
6	7	660	734	1587	285	253	927	389	74
11	4	1511	1699	2574	132	64	1063	867	188
14	23	1765	2179	2811	88	29	1046	929	414
21	0	2896	3238	3445	207	0	549	342	342
25	0	3267	3629	3723	94	0	456	362	362
31	0	4210	4498	4648	150	0	438	288	288
38	0	5237	5526	5694	168	0	457	289	289
47	0	6620	6812	7082	270	0	462	192	192
48	0	6627	7082	7134	52	0	507	455	455
49	0	6971	7134	7177	43	0	206	163	163
55	17	8039	8263	8482	101	102	443	240	224
57	3	8337	8376	8793	12	57	456	387	39
0	0	0	-1	10009	10009	0	10009	0	-1
