id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	189	210	430	154	23	241	64	21
1	0	0	0	661	406	83	661	172	0
3	0	347	347	1495	318	230	1148	600	0
8	0	1525	1937	1949	12	0	424	412	412
5	0	764	931	2278	444	81	1514	989	167
6	0	949	1012	2351	188	86	1402	1128	63
9	0	1747	2058	2623	78	105	876	693	311
11	0	2560	2623	2684	61	0	124	63	63
7	0	1384	1628	3116	429	91	1732	1212	244
14	0	3109	3394	4597	247	3	1488	1238	285
4	0	746	881	4716	1044	329	3970	2597	135
12	0	2569	2684	4991	502	12	2422	1908	115
20	0	4499	4991	5221	230	0	722	492	492
13	0	3096	3339	5366	184	253	2270	1833	243
18	0	3861	4633	5696	170	10	1835	1655	772
24	0	4763	5805	5911	106	0	1148	1042	1042
26	0	4788	5976	5991	15	0	1203	1188	1188
21	0	4526	5221	6278	22	26	1752	1704	695
34	0	6193	7267	7272	5	0	1079	1074	1074
19	0	4431	4929	9583	153	128	5152	4871	498
0	0	0	0	10006	9409	0	10006	597	0
