id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	189	210	430	154	23	241	64	21
1	0	0	0	661	406	83	661	172	0
8	0	1525	1722	1734	12	0	209	197	197
7	0	1384	1441	2318	429	91	934	414	57
5	0	764	931	2475	444	81	1711	1186	167
9	0	1747	1872	2578	78	105	831	648	125
11	0	2560	2778	2839	61	0	279	218	218
18	0	3861	4145	4469	170	10	608	428	284
26	0	4788	4991	5006	15	0	218	203	203
19	0	4431	4578	5550	153	128	1119	838	147
30	0	5580	5636	6251	167	59	671	445	56
38	0	6504	6537	7881	486	101	1377	790	33
42	0	7355	7501	8443	410	17	1088	661	146
46	0	7777	7881	8919	368	83	1142	691	104
0	0	0	0	10093	9496	0	10093	597	0
