id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	116	105	276	560	127	9	455	319	171
1	54	0	0	614	174	163	614	277	0
3	54	91	287	1523	452	159	1432	821	196
15	26	1647	1772	1798	26	0	151	125	125
14	46	1417	1523	2153	306	70	736	360	106
21	21	2142	2153	2174	21	0	32	11	11
20	14	2035	2069	2188	37	77	153	39	34
18	5	1839	1902	2828	266	81	989	642	63
29	76	3484	3509	3767	122	42	283	119	25
24	77	3035	3778	4017	171	58	982	753	743
36	62	4502	4579	4956	138	60	454	256	77
35	29	4392	4479	5006	152	258	614	204	87
40	22	5086	5172	5194	22	0	108	86	86
31	43	4120	4135	5272	255	92	1152	805	15
58	19	7928	8039	8058	19	0	130	111	111
37	29	4659	7871	8337	181	268	3678	3229	3212
59	26	8043	8058	9098	314	199	1055	542	15
63	25	8913	9329	9903	205	203	990	582	416
71	30	9518	9521	9933	129	171	415	115	3
0	0	0	0	10002	9973	0	10002	29	0
