id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	534	321	213	534	0	0
10	0	1828	2706	2733	27	0	905	878	878
2	0	585	585	4757	872	265	4172	3035	0
21	0	3504	5351	5520	169	0	2016	1847	1847
25	0	3955	6528	6577	49	0	2622	2573	2573
8	0	1746	2696	7500	185	57	5754	5512	950
9	0	1750	2701	7584	163	122	5834	5549	951
19	0	3066	4978	7900	201	29	4834	4604	1912
31	0	5226	8459	8684	225	0	3458	3233	3233
20	0	3423	5043	8768	233	115	5345	4997	1620
11	0	2086	3267	8965	353	81	6879	6445	1181
22	0	3589	5520	9570	514	16	5981	5451	1931
23	0	3666	5837	9682	183	27	6016	5806	2171
0	0	0	0	10062	9100	0	10062	962	0
