id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	22	0	0	534	321	213	534	0	0
10	27	1828	1857	1884	27	0	56	29	29
2	64	585	585	2098	872	265	1513	376	0
9	8	1750	1765	2106	163	122	356	71	15
8	159	1746	1760	2562	185	57	816	574	14
11	63	2086	2249	2989	353	81	903	469	163
21	169	3504	3789	3958	169	0	454	285	285
25	49	3955	3992	4041	49	0	86	37	37
23	112	3666	3718	4179	183	27	513	303	52
20	62	3423	4325	4736	233	115	1313	965	902
19	183	3066	3097	5313	201	29	2247	2017	31
43	75	6762	6788	6946	76	52	184	56	26
46	33	7241	7326	7505	61	48	264	155	85
42	92	6759	6789	8022	472	312	1263	479	30
40	143	6249	6256	8948	208	81	2699	2410	7
32	90	5264	5313	9152	522	209	3888	3157	49
58	56	9504	9505	9734	101	61	230	68	1
0	0	0	0	10056	9094	0	10056	962	0
