id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
10	0	898	983	1063	80	0	165	85	85
12	0	1053	1337	1584	247	0	531	284	284
15	0	1341	2854	3030	176	0	1689	1513	1513
21	0	2246	3294	3444	150	0	1198	1048	1048
7	8	398	768	5020	241	18	4622	4363	370
30	16	3585	3949	5371	74	157	1786	1555	364
39	13	5182	5296	5586	201	29	404	174	114
41	0	5620	5757	5926	169	0	306	137	137
42	0	5705	5926	6243	317	0	538	221	221
47	0	6513	6647	6815	168	0	302	134	134
48	0	6592	7061	7178	117	0	586	469	469
54	0	8384	8476	8502	26	0	118	92	92
55	0	8425	8502	8529	27	0	104	77	77
65	0	9330	9479	9513	34	0	183	149	149
0	0	0	-1	10084	10084	0	10084	0	-1
