id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	660	1163	2333	285	253	1673	1135	503
9	0	1011	1812	3226	29	12	2215	2174	801
11	0	1511	2359	3916	132	64	2405	2209	848
4	0	436	508	4115	430	133	3679	3116	72
21	0	2896	4713	4920	207	0	2024	1817	1817
3	0	325	494	5544	311	50	5219	4858	169
25	0	3267	5544	5638	94	0	2371	2277	2277
16	0	2087	3562	6505	373	37	4418	4008	1475
7	0	687	1171	6559	454	161	5872	5257	484
31	0	4210	6655	6805	150	0	2595	2445	2445
13	0	1718	2685	7144	194	65	5426	5167	967
38	0	5237	7491	7659	168	0	2422	2254	2254
14	0	1765	3121	8048	88	29	6283	6166	1356
0	0	0	-1	10004	10004	0	10004	0	-1
